question,answer_text,distractor
We can infer from the passage that   ,black actresses often played roles of servants in the film in the 1940s,"'black actors often played roles of servants in the film in the 1940s', 'black actresses often commentates roles of servants in the film in the 1940s'"
What kind of schools may be the most suitable for the so - called troubled - teens ?,Wilderness schools,"'Wilderness colleges', 'Wilderness schools'"
How did the researchers get to know the elephants ' special ability of identification ?,By playing voice recordings to them .,"'By playing personality recordings to them .', 'By auditioning voice recordings to them .'"
"Form the passage , we can learn that the author",often drove his car before he had his license taken away,"'often drove his sailboat before he had his license taken away', 'often threw his car before he had his license taken away'"
What is the message conveyed in the story ?,One can find his position in life in his own way .,"'One can find his reins in life in his own way .', 'One can give his position in life in his own way .'"
The main purpose of the survey is to,review that less than half of the population now reads literature,"'summary that less than half of the population now reads literature', 'review that less than half of the population now appears literature'"
"According to the text , Dr. Yack 's team did NOT",create a map to show how caterpillars evolve,"'create a file to show how caterpillars evolve', 'replicate a map to show how caterpillars evolve'"
Which is the best ticket to buy if you live in London and want to go to a small town 80 miles away for four days ?,Monthly Returns,"'Monthly tax_return', 'Monthly Returns'"
What can we learn about dolphins according to the text ?,Dolphins communicate a lot with one another .,"'dolphinfish communicate a lot with one another .', 'Dolphins interact a lot with one another .'"
What would be the best title for this passage ?,New Special Investigation : Mobile Phones .,"'fresh Special Investigation : Mobile Phones .', 'New Special Investigation : Mobile Phones .'"
Which of the following statements is true according to the passage ?,Cancers have much to do with something in patients ' blood .,"'cancer have much to do with something in patients ' blood .', 'Cancers 've much to do with something in patients ' blood .'"
Which of the following may be the best title for this passage ?,The Great Wall Being in Danger .,"'The bang-up Wall Being in Danger .', 'The Great Wall Being in Danger .'"
We can learn from the text that,book reviews may affect book sales,"'chapbook reviews may affect chapbook sales', 'book reviews may enhance book sales'"
Which of the following is TRUE about the kitchen ?,It has received strong support from the EU .,"'It has received strong certifier from the EU .', 'It had received strong support from the EU .'"
How did these Japanese students get back ?,They had to take a lift from the tow truck driver .,"'They had to take a drop from the tow truck driver .', 'They has to take a lift from the tow truck driver .'"
What was the negative effect of the asteroid hitting Earth ?,There was less oxygen in the oceans .,"'There was less co2 in the oceans .', 'There is less oxygen in the oceans .'"
"After his phone suddenly began ringing , the author",continued with his fake conversation,"'continued with his fake remark', 'began with his fake conversation'"
What can we infer    from the story ?,Encouragement is important in teaching .,"'boost is important in teaching .', 'Encouragement was important in teaching .'"
What 's the author 's suggestion to budget travelers ?,Read other budget travelers ' tips online .,"'Read other expenditure travelers ' tips online .', 'take other budget travelers ' tips online .'"
Which of the following is true according to the passage ?,Marco spent about six years on the way to China and back to Venice .,"'Marco spent about six months on the way to China and back to Venice .', 'Marco endured about six years on the way to China and back to Venice .'"
China Youth says that more and more    ,girls have entered colleges,"'boys have entered colleges', 'girls 've entered colleges'"
Frank is  ,having a good time in Ottawa,"'having a good standstill in Ottawa', 'have a good time in Ottawa'"
"When you get lost in the woods , you should ,",stay in one place and send signals for help,"'move in one place and send signals for help', 'stay in one place and send signals for help'"
Ashleigh mentions all the following things EXCEPT,to play football with friends,"'to play basketball with friends', 'to audition football with friends'"
What is the passage mainly about ?,how to deal with our worries,"'how to deal with our doubts', 'how to opportunity with our worries'"
Which of the following can best serve as the title of this passage ?,"Oprah Winfrey , from a problem girl to the American media queen .","'Oprah Winfrey , from a flaw girl to the American media queen .', 'Oprah Winfrey , from a problem girl to the American media queen .'"
"To solve the problem , the author thinks it 's a good way to",issue some guidelines by the government,"'statement some guidelines by the government', 'issue some guidelines by the government'"
The purpose of the first impression is to tell readers,how to make a good first impression,"'how to make a good first idea', 'how to find a good first impression'"
After the operation the writer,was too shy to show his thanks,"'was too shy to show his cheers', 'is too shy to show his thanks'"
The passage is mainly about,the effect of fish eating on people 's health,"'the realization of fish eating on people 's health', 'the effect of fish eating on people 's health'"
"More often than not , what we call mental decline is actually a sign of",a state of unhappiness,"'a states of unhappiness', 'a state of unhappiness'"
The purpose of writing the text is to,prove that the overcome of shyness helps achieve success,"'explain that the overcome of shyness helps achieve success', 'prove that the overcome of shyness helps attain success'"
"According to the passage , we know the author",was once a person who wants things to be perfect,"'was once a addressee who wants things to be perfect', 'is once a person who wants things to be perfect'"
What did the author often do during her work ?,Sending a photo of pets to the owners .,"'Sending a photograph of pets to the owners .', 'send a photo of pets to the owners .'"
"According to the passage , the new invention "" face - kini "" is now considered as",high fashion,"'high graffiti', 'high fashion'"
What can be inferred from the passage ?,Babies can understand emotions .,"'baby can understand emotions .', 'Babies can appreciate emotions .'"
"As a disabled man , his father","was happy and satisfied , and never lost hope","'was happy and satisfied , and never lost wish', 'is happy and satisfied , and never lost hope'"
Why did Thomas Nast paint Santa Claus into a fat old man ?,Because he had a nice childhood memory of such a man .,"'Because he had a nice boyhood memory of such a man .', 'Because he has a nice childhood memory of such a man .'"
"In order not to miss a game , Russell",arranges his work time carefully,"'prepares his work time carefully', 'arranges his work time carefully'"
Why did n't the man thank the author ?,He found it hard to control his strong feelings .,"'He found it hard to control his strong impatience .', 'He exploited it hard to control his strong feelings .'"
The study leads us to believe that,the pets in the UK will be in trouble if their owners keep their way of life,"'the dogs in the UK will be in trouble if their owners keep their way of life', 'the pets in the UK will been in trouble if their owners keep their way of life'"
What can bring you a good sleep ?,Joining in activities .,"'Joining in initiatives .', 'join in activities .'"
We can infer from the passage that,We human beings need to love animals because they are our friends .,"'We human adepts need to love animals because they are our friends .', 'We non-human beings need to love animals because they are our friends .'"
The author mentions the activities in Para.1 mainly to show,Findley Lake is a good place for tourists to travel at any time,"'Findley Lake is a good culmination for tourists to travel at any time', 'Findley Lake was a good place for tourwasts to travel at any time'"
"According to the author , which of the following is the right kind of tattoo that girls should get ?","Small , lovely tattoos inked on the hidden part of the body","'minor , lovely tattoos inked on the hidden part of the body', 'Small , lovely tattoos optioned on the hidden part of the body'"
Nancy does n't go to school because,she is only five,"'she is only five', 'she was only five'"
Why is Morioka Shoten unique ?,It sells various copies of a book in a week .,"'It sells various reproductions of a book in a week .', 'It distributes various copies of a book in a week .'"
Why are death cases among white collar employees and office workers increasing year by year ?,All of the above,"'All of the see-also', 'All of the above'"
Young British people live in their parents ' home until around 30 because,they ca n't afford a house of their own until then,"'they ca n't afford a infirmary of their own until then', 'they ca n't donate a house of their own until then'"
"According to the scientists , the device thrown overboard would",burn up in space in about three months,"'burn up in hyperspace in about three months', 'sink up in space in about three months'"
How did the story end ?,The woman taught the two young men a lesson .,"'The prostitute taught the two young men a lesson .', 'The woman devoted the two young men a lesson .'"
What started Martha ' s success in business ?,Her catering business .,"'Her retailing business .', 'Her catering business .'"
"According to the author , if a person is found guilty of a crime ,",the criminal himself should bear the blame,"'the criminal himself should bear the compliment', 'the criminal himself should swallow the blame'"
On her way home the writer,lost her wallet unknowingly,"'lost her cupboard unknowingly', 'snatched her wallet unknowingly'"
"From the passage , we can learn that",many British people have unhealthy eating habits,"'many British schoolteachers have unhealthy eating habits', 'many British people 've unhealthy eating habits'"
What can we learn from the passage ?,Listening is better than yelling and fighting .,"'Listening is better than masturbating and fighting .', 'listen is better than yelling and fighting .'"
WHO has changed its idea mainly because,it believes certain amount of intake of sugar does us good,"'it believes certain paucity of intake of sugar does us good', 'it thinks certain amount of intake of sugar does us good'"
Which of the following is NOT the reason that the earth has life ?,The volcanos on earth are lower than those on Mars .,"'The insectivores on earth are lower than those on Mars .', 'The volcanos on earth were lower than those on Mars .'"
"Having heard what had happened , the judge",made a wise decision,"'made a doe decision', 'aquired a wise decision'"
We know from the passage that,His teacher believed in his musical gift .,"'His instructor believed in his musical gift .', 'His teacher realized in his musical gift .'"
Why do many people like to do sports every day ?,Because they can keep healthy .,"'Because they can keep healthy .', 'Because they can oppose healthy .'"
The old man believed that,God sent him $ 100 in cash .,"'deity sent him $ 100 in cash .', 'God dispatched him $ 100 in cash .'"
The writer gives us the article to,tell us the difference between love and friendship .,"'tell us the discrepancy between love and friendship .', 'hear us the difference between love and friendship .'"
How did the writer escape    from the bees ?,She jumped into a water pool .,"'She jumped into a seawater pool .', 'She dived into a water pool .'"
What 's the best title of this passage ?,Everything Happens For The Best,"'Everything Happens For The Best', 'Everything happen For The Best'"
Which would be the best title for this passage ?,Learning about Sports,"'Learning about sport', 'eruditeness about Sports'"
What can we conclude from this passage ?,"Having experienced a lot outside , Jennifer felt home was really warm and safe for her .","'Having experienced a bunch outside , Jennifer felt home was really warm and safe for her .', 'have experienced a lot outside , Jennifer felt home was really warm and safe for her .'"
Which of the following is TRUE according to the passage ?,A reliable website offers you an advanced secure system .,"'A reliable web-site offers you an advanced secure system .', 'A reliable website offers you an advanced secure system .'"
What is suggested in the passage ?,The capital would have rainstorm on Monday evening .,"'The emirate would have rainstorm on Monday evening .', 'The capital would 've rainstorm on Monday evening .'"
Which is the right way to take care of teeth ?    ,Eat lots of fruits and vegetables and drink water instead of soda .,"'feed lots of fruits and vegetables and drink water instead of soda .', 'Eat lots of fruits and vegetables and relish water instead of soda .'"
My boss is Robinson 's,master,"'doctor', 'master'"
We can infer   from the story that,the Frenchman was at last able to get what he wanted,"'the Frenchman was at last able to get what he wanted', 'the Frenchman is at last able to get what he wanted'"
"When a mistake is made in the printing of the stamp , the stamp",increases in value,"'decreases in value', 'increases in value'"
The writer gives a description of Rikke using the Screenfridge in order to,introduce the new product,"'introduce the new package', 'identify the new product'"
The chemicals in spices keep food fresh by,killing bacteria in food,"'killing micro-organisms in food', 'leaving bacteria in food'"
The broken Skylab will come into view,as 12 bigger pieces and hundreds of smaller pieces,"'as 12 bigger drawings and hundreds of smaller drawings', 'as 12 bigger pieces and hundreds of smaller pieces'"
Why are squirrel monkeys and baboons involved in the experiments ?,Because their brain is similar to human beings .,"'Because their limb is similar to human beings .', 'Because their brain was similar to human beings .'"
The passage mainly talks about,hearts and long life,"'wolves and long life', 'hearts and long life'"
Which would be the best title for the passage ?,Smiles Make a Bus Feel Like Home,"'smile Make a Bus Feel Like Home', 'Smiles brand a Bus Feel Like Home'"
"After the author handed the meals to the homeless men , she",went back to her husband and son,"'went back to her father and son', 'came back to her husband and son'"
We can infer from the passage that,the boss was wise,"'the villain was wise', 'the boss is wise'"
Drugs need to be tested before being sold mainly because,scientists need to be sure they 're safe for use,"'researchers need to be sure they 're safe for use', 'scientists deserve to be sure they 're safe for use'"
"According to the writer , which of the following is not true ?",When you get off the plane you will find yourself right in the city center,"'When you get off the wheel you will find yourself right in the city center', 'When you gotten off the plane you will find yourself right in the city center'"
The writer of the passage asks us,not to do things like Greg,"'not to do eyeballs like Greg', 'not to seem things like Greg'"
What can we infer about the dog from the text,It was kept by Rudi 's family .,"'It was kept by Rudi 's household .', 'It is kept by Rudi 's family .'"
Why are the researchers puzzled over the results ?,Because the results were completely different from what they had thought .,"'Because the rankings were completely different from what they had thought .', 'Because the results are completely different from what they had thought .'"
"According to the passage , some Shanghai educators and parents argue that",the reform may accomplish the very opposite,"'the renewal may accomplish the very opposite', 'the reform may fulfil the very opposite'"
What can be inferred from the passage ?,Most of young people fail to live comfortably ..,"'Most of young schoolteachers fail to live comfortably ..', 'Most of young people decide to live comfortably ..'"
It can be inferred from the passage that   ,the official learned that what he wanted needed to pay for the same effort .,"'the semi-official learned that what he wanted needed to pay for the same effort .', 'the official learnt that what he wanted needed to pay for the same effort .'"
What mainly caused the two passengers to open the emergency exits ?,"When passengers complained , the pilot reportedly insulted them by saying something rude and impolite .","'When motorists complained , the pilot reportedly insulted them by saying something rude and impolite .', 'When passengers testified , the pilot reportedly insulted them by saying something rude and impolite .'"
The best title for this passage should be,A girl acts to clean the world 's water,"'A girl speeches to clean the world 's water', 'A girl acts to cool the world 's water'"
What can be inferred from the passage ?,The job is not as relaxing as the advertisement says .,"'The whim is not as relaxing as the advertisement says .', 'The job was not as relaxing as the advertwasement says .'"
Why does n't the girl want to go to learn salsa ?,Nobody wants to dance with her .,"'cipher wants to dance with her .', 'Nobody decides to dance with her .'"
Leadville got its name for the following reasons EXCEPT,because it could bring good fortune to Tabor,"'because it could bring good gift to Tabor', 'because it could give good fortune to Tabor'"
What 's the title of the passage ?,A wooden bowl,"'A wooden time-trial', 'A wooden bowl'"
What do we know about Ed 's driving ?,He ca n't drive without Helen 's help .,"'He ca n't drive without Helen 's mislead .', 'He ca n't ride without Helen 's help .'"
Boys were often tempted to,throw stones at Mr. Flowers ' glass - house,"'throw coffins at Mr. Flowers ' glass - house', 'pull stones at Mr. Flowers ' glass - house'"
The passage is mainly about,how to succeed in a new school term,"'how to succeed in a new college term', 'how to dismiss in a new school term'"
The main reason why teenagers do n't have enough sleep is that they,use mobile phones too much,"'re-use mobile phones too much', 'use mobile phones too much'"
"According to the passage , the writer believes that",the concept of teamwork is still alive and no longer the same as the past,"'the piece of teamwork is still alive and no longer the same as the past', 'the concept of teamwork was still alive and no longer the same as the past'"
All the following are channels to get market information except,to promote the quality of our own products,"'to promote the importance of our own products', 'to introduce the quality of our own products'"
Which of the following is Not True ?   ,The congratulatory letter shows that both China 's strengths and international standing have reached the highest rank around the world .,"'The valedictory letter shows that both China 's strengths and international standing have reached the highest rank around the world .', 'The congratulatory letter showcases that both China 's strengths and international standing have reached the highest rank around the world .'"
Which Guinness World Record the organizers may set ?,The number of moustaches removed in a day .,"'The handful of moustaches removed in a day .', 'The number of moustaches added in a day .'"
For which of the four men is the 60 Thompson the best choice ?,Clement loves art and enjoys delicious food and wine .,"'Clement loves art and enjoys delicious liquor and wine .', 'Clement hates art and enjoys delicious food and wine .'"
Strange things happen to time when you travel because,the earth is divided into time zones,"'the eternity is divided into time zones', 'the earth was divided into time zones'"
"If a person usually puts things into categories and sorts when    thinking , he is most probably",a logical learner,"'a logical t-test', 'a logical learner'"
"According to Michelle , 17-year - old teenagers",are too young to manage their life,"'are too young to manage their upbringing', 'were too young to manage their life'"
Which of the following is TRUE ?,We should set a good example for our children .,"'We should set a good addition for our children .', 'We should alternates a good example for our children .'"
What do you think Dr. Mellinkoff wanted to tell his students in this case ?,Doctors should know their patients ' real problems .,"'doctor should know their patients ' real problems .', 'Doctors should think their patients ' real problems .'"
What does a social scientist study ?,Human beings as members of groups .,"'Human adepts as members of groups .', 'Human beings as members of groups .'"
What is the main idea of this passage ?,Only stricter traffic laws can prevent accidents .,"'Only stringent traffic laws can prevent accidents .', 'Only stricter traffic laws can avoid accidents .'"
Which sentence shows the writer 's opinion ?,E - waste problem is very serious and people should take actions .,"'E - deposit problem is very serious and people should take actions .', 'E - waste problem was very serious and people should take actions .'"
Why was the author astonished when he saw that there was a man in the call box ? Because   ,he did n't expect it to be taken up,"'he did n't expect it to be taken up', 'he does n't expect it to be taken up'"
The reason why experts suggested not taking the company directly to court is that,all of the above,"'all of the see-also', 'all of the above'"
Which of the following is TRUE according to the passage ?,"Ryan Lochte quit eating junk food , candy and soda for his recovery .","'Ryan Lochte quits eating junk food , candy and soda for his recovery .', 'Ryan Lochte quit drinking junk food , candy and soda for his recovery .'"
Those who like drinking coffee often have accidents because,the deserted coffee cups may make the brake fail,"'the deserted beer cups may make the brake fail', 'the deserted coffee cups may find the brake fail'"
We can guess from the story that,Jack made a mistake,"'mariner made a mistake', 'Jack aquired a mistake'"
The author lists 13 values in his booklet to,help international visitors understand Americans,"'mislead international visitors understand Americans', 'help international visitors appreciate Americans'"
The comparison made between the memory capacity of a large computer and that of a human being shows that,the computer 's memory 's capacity is much smaller even than a teenager 's,"'the software 's memory 's capacity is much smaller even than a teenager 's', 'the computer 's memory 's capacity was much smaller even than a teenager 's'"
What can the writer learn from her experience ?,The old need care from others .,"'The old deserve care from others .', 'The old need care from others .'"
What can we know from the story ?,The third woman does n't know she has the same problem as ( ........ ) the other two women .,"'The third prostitute does n't know she has the same problem as ( ........ ) the other two women .', 'The third woman did n't know she has the same problem as ( ........ ) the other two women .'"
Why is the story of two friends told in the passage ?,To support the author 's own argument on competition .,"'To support the writer 's own argument on competition .', 'To certifier the author 's own argument on competition .'"
"From the passage , we can know that","an "" Alive and Well "" call is very important for worrying parents","'an "" Alive and good "" call is very important for worrying parents', 'an "" Alive and Well "" call was very important for worrying parents'"
The reason why the elephant stayed calm and still was that,it concentrated    on what it was doing,"'it concentrated    on what it was doing', 'it impacted    on what it was doing'"
The best title for the passage would be,Sharks : Humans ' Friends,"'shark : Humans ' Friends', 'Sharks : Humans ' Friends'"
Who is the passage written for ?,Parents,"'parent', 'Parents'"
"From the passage , we can learn that",there may be disagreements between roommates,"'there may be shortcomings between roommates', 'there may been disagreements beentween roommates'"
What is the passage mainly about ?,The guide for the Fresher 's Week .,"'The handbook for the Fresher 's Week .', 'The guide for the Fresher 's Week .'"
"From this passage , we know acid rain","is bad for people , animals , plants and buildings","'is bad for schoolteachers , animals , plants and buildings', 'was bad for people , animals , plants and buildings'"
What is PTA Day ?,A day for parents to meet their children 's teachers at school .,"'A week for parents to meet their children 's teachers at school .', 'A day for parents to retain their children 's teachers at school .'"
"In Germany , teleshopping may",help businessmen get more money,"'mislead businessmen get more money', 'help businessmen gotten more money'"
What is the main topic of the text ?,The effect of climate change on migrating animals .,"'The realization of climate change on migrating animals .', 'The effect of climate change on migrating animals .'"
What is new about this year 's Museum Day ?,People will get free tickets online .,"'citizenry will get free tickets online .', 'People will gotten free tickets online .'"
"To be successful in our training programme , we must understand the difference between",the training contents and training in using,"'the retraining contents and retraining in using', 'the training contents and training in utilizing'"
What is the best title for this passage ?,The Pillow,"'The Pillow', 'The Pillow'"
The elevators at Seven World Trade Center are special because they can,send people to floors with fewer stops,"'send schoolteachers to floors with fewer stops', 'send people to floors with fewer stops'"
The gem cutter did n't buy the stone because,he doubted whether it was genuine,"'he doubted whether it was genuine', 'he refuted whether it was genuine'"
The roommate laughed all the way home because,the writer was embarrassed when he could n't pay his check,"'the playwright was embarrassed when he could n't pay his check', 'the writer is embarrassed when he could n't pay his check'"
Why does Mrs Black give Jimmy a knife ?,Because she does n't like the noise .,"'Because she does n't like the emotion .', 'Because she did n't like the noise .'"
What is the main idea of the passage ?,Lopez has done many things in her career .,"'Lopez has done many eyeballs in her career .', 'Lopez had done many things in her career .'"
Why does the author write the passage ?,"To call on students to apply to be Campus Coordinators ,","'To call on undergraduates to apply to be Campus Coordinators ,', 'To leave on students to apply to be Campus Coordinators ,'"
The Postcrossing project,receives more public approval compared with sending mail .,"'offers more public approval compared with sending mail .', 'receives more public approval depending with sending mail .'"
Which of the following is TRUE ?,The robot fish can go back to the beach by themselves .,"'The robot fruit can go back to the beach by themselves .', 'The robot fish can come back to the beach by themselves .'"
Foster 's opinion on teenagers ' getting up late is that,it 's based on their body development,"'it 's based on their chest development', 'it valley/selected based on their body development'"
What is Mr. Zhang ?,He is an English teacher .,"'He is an English instructor .', 'He was an Englwash teacher .'"
Which of the following is not true ?,Johnson 's dictionary is the first English Dictionary .,"'Johnson 's encyclopaedia is the first English Dictionary .', 'Johnson 's dictionary was the first Englwash Dictionary .'"
Which of the following is,People do not analyze the problem they meet .,"'citizenry do not analyze the problem they meet .', 'People seem not analyze the problem they meet .'"
The people except the author 's grandpa in the church,thought the director had made a mistake,"'thought the organiser had made a mistake', 'understood the director had made a mistake'"
Miss Advice holds that,men with a baby feel more grown - up,"'women with a baby feel more grown - up', 'men with a baby feel more grown - up'"
"According to Canaves , this race can help the students",understand designing better,"'appreciate designing better', 'understand constructing better'"
The best title for this passage is,Franklin 's Experiment with Lightning,"'Franklin 's Experiment with Lightning', 'Franklin 's Experiment with Lightning'"
Which of the following can be the best title of the passage ?,Do it Today .,"'Do it nowadays .', 'bash it Today .'"
We can learn from the text that,reading made the author not worry about his sight,"'reading made the writer not worry about his sight', 're-writing made the author not worry about his sight'"
Why should people eat orange food according to the text ?,It is good for eyesight .,"'It is good for self-confidence .', 'It was good for eyesight .'"
Which of these mistakes students make choosing food is not mentioned in the reading ?,Eating too much chocolate .,"'Eating too much caramel .', 'eat too much chocolate .'"
Who are most likely to become depressed ?,Young girls who always hide their feelings and opinions .,"'new girls who always hide their feelings and opinions .', 'Young girls who always fetch their feelings and opinions .'"
Which of the following statements is true according to the passage ?,Sugar was left to a neighbor because the Woods knew she did n't like riding in cars for days .,"'carbohydrate was left to a neighbor because the Woods knew she did n't like riding in cars for days .', 'Sugar is left to a neighbor because the Woods knew she did n't like riding in cars for days .'"
What 's the best title of the passage ?,Lily 's New School,"'Lily 's fresh School', 'Lily 's New School'"
"Pollution comes in many ways . We can even hear it . Here "" it "" means .",noise pollution,"'emotion pollution', 'noise pollution'"
"When writing about qualifications , applicants are advised to",provide a detailed description of their study and work experiences,"'provide a detailed overview of their study and work experiences', 'allocate a detailed description of their study and work experiences'"
"Although it costs less to live in a town ,",life is more worth living in the country,"'upbringing is more worth living in the country', 'life was more worth living in the country'"
The U.N. World Food program aims to,show concerns over food insecurity in the developing world,"'treehouse concerns over food insecurity in the developing world', 'show concerns over food insecurity in the developing world'"
The purpose of the article is to,tell us there are a lot of fake news on the Internet,"'tell us there are a bunch of fake news on the Internet', 'hear us there are a lot of fake news on the Internet'"
Which is the reason for her leaving school for the second time ?,Girls were not equally treated in their village .,"'girl were not equally treated in their village .', 'Girls are not equally treated in their village .'"
What do we know about the two cheetah cubs ?,Their lives were in danger in the wild .,"'Their walks were in danger in the wild .', 'Their lives are in danger in the wild .'"
Which of the following is NOT true according to the passage ?,China has got the team gold medal twice in Winter Olympics history .,"'Taiwan has got the team gold medal twice in Winter Olympics history .', 'China had got the team gold medal twice in Winter Olympics history .'"
The author thinks that his father should allow him to,stay at home alone,"'move at home alone', 'stay at home alone'"
What is the immediate cause for people to have more time to enjoy life ?,The reduction in working time .,"'The efficiency in working time .', 'The reduction in venturing time .'"
Alison Lo concludes that,a teenager can be raised to be a talent,"'a youngster can be raised to be a talent', 'a teenager can been raised to been a talent'"
The author wrote the text in order to,report a new research of coffee,"'report a new self-study of coffee', 'review a new research of coffee'"
Which of the following is not included among the benefits of laughing ?,It can cure the illness of people .,"'It can cure the estrangement of people .', 'It can appetite the illness of people .'"
Which statement is NOT true according to the passage ?,The students can read the text page by page with e - schoolbags only .,"'The undergraduates can read the text page by page with e - schoolbags only .', 'The students can write the text page by page with e - schoolbags only .'"
What is the best title for the passage ?,Power of Tears,"'ability of Tears', 'Power of Tears'"
The main purpose of this text is to,inform people a kind of energy - saving cars,"'consult people a kind of energy - saving cars', 'inform people a kind of energy - saving cars'"
The purpose of the passage is,to share her experience of improving her English,"'to offer her experience of improving her English', 'to share her experience of assessing her English'"
The finding of the research mainly shows,the spread of happiness can lead to a healthier society,"'the dwell of happiness can lead to a healthier society', 'the spread of happiness can tackle to a healthier society'"
Charles Dickens was removed from school because,he had to make money to support the family,"'he had to make profits to support the family', 'he has to make money to support the family'"
"According to the spokesman for Premier Inn , it 's hard to relax if we",keep thinking hard,"'keep thinking hard', 'oppose thinking hard'"
Which is NOT mentioned by Psychologist Serena Cauchy ?,Sincerely talk about friends ' shortcomings .,"'Sincerely datestamp about friends ' shortcomings .', 'Sincerely talk about friends ' shortcomings .'"
Jason went down the cliff because,Alexis did n't believe in herself,"'Alexis did n't believe in herself', 'Alexis does n't believe in herself'"
Einstein realized his mistake in,signing the letter to Roosevelt,"'signing the column to Roosevelt', 'invitation the letter to Roosevelt'"
Which of the following would be the best title for the passage ?,China - Cambodia friendship to continue,"'Taiwan - Cambodia friendship to continue', 'China - Cambodia friendship to cease'"
What can we learn from the text ?,Disabled people can also take up a job volunteering overseas .,"'Disabled schoolteachers can also take up a job volunteering overseas .', 'Disabled people can also give up a job volunteering overseas .'"
What 's the best title for the passage ?,Why are some people left - handed ?,"'Why are some schoolteachers left - handed ?', 'Why were some people left - handed ?'"
One has a poor memory mainly because,his memory is not often used,"'his vision is not often used', 'hwas memory was not often used'"
It is important for people to eat,something from each of the seven kinds of food every day,"'anything from each of the seven kinds of food every day', 'something from each of the seven kinds of food every day'"
Which of the follow sentences is Not True ?,There are many red - crowned cranes in the world .,"'There are many red - crowned stoves in the world .', 'There were many red - crowned cranes in the world .'"
"According to Gary Becker , what causes people feel anxious about time ?",The increasing value of work time .,"'The increasing quantity of work time .', 'The decreasing value of work time .'"
The best title for the passage can be,Chinese College Students Rush to US Schools,"'Chinese College student Rush to US Schools', 'Chinese College Students Rush to US Schools'"
What is mainly talked about in the text ?,Creative sites for family to hang out .,"'Creative gateways for family to hang out .', 'Creative sites for family to teleport out .'"
Which can be the best title for the passage ?,Gardening Experiences,"'Gardening experience', 'garden Experiences'"
What is this passage mainly about ? ( ),Progress in fighting snakebite deaths .,"'advancement in fighting snakebite deaths .', 'Progress in stabbing snakebite deaths .'"
The worst that can happen when habitats are destroyed is that plants and animals,become extinct,"'employ extinct', 'become extinct'"
What is the most important holiday for the young people ?,Valentine 's Day .,"'Valentine 's sidereal_day .', 'Valentine 's Day .'"
"At Mr. Rosa 's childhood , Thanksgiving was not a big holiday for the following reasons EXCEPT",during the 1930 's no one could afford expensive dinners,"'during the 1930 's no three-quarters could afford expensive dinners', 'during the 1930 's no one could donate expensive dinners'"
What can you infer from the story ?,People on the farm were honest and helpful .,"'citizenry on the farm were honest and helpful .', 'People on the farm are honest and helpful .'"
It can be learned from the passage that China 's Wolong Nature Reserve   ,is facing the same threat as many other parts of the world,"'is facing the same onslaught as many other parts of the world', 'was facing the same threat as many other parts of the world'"
Statistical analysis in this passage is conducted by,counting how frequently a word is used in the language,"'counting how frequently a phrase is used in the language', 'skipping how frequently a word is used in the language'"
What will be included in the exam ?,only essay questions .,"'only essay assertions .', 'only essay questions .'"
Why does the author suggest traveling through the shoulder seasons ?,To have better value of traveling .,"'To have better quantity of traveling .', 'To 've better value of traveling .'"
Which of the following is WRONG according to the passage ?,You can have a memorable vacation in a car .,"'You can have a memorable holiday in a car .', 'You can 've a memorable vacation in a car .'"
Which of the following is NOT a factor in making goat meat more popular ?,Raising goats is challenging .,"'Raising pheasants is challenging .', 'elevation goats is challenging .'"
Which of the following statements is True of Kevin Stephan ?,He worked part - time in a local restaurant to save money for college .,"'He worked chronologically - time in a local restaurant to save money for college .', 'He dabbled part - time in a local restaurant to save money for college .'"
Where are the fish ?,There are n't any fish .,"'There are n't any fish .', 'There were n't any fish .'"
Why did the businessman agree to give more money if he lost ?,He thought he knew more than the farmer .,"'He thought he knew more than the banker .', 'He understood he knew more than the farmer .'"
"What is the "" strange "" point mentioned in the first sentence ?",The good life is a greater risk than the bad life .,"'The good upbringing is a greater risk than the bad upbringing .', 'The good life was a greater rwask than the bad life .'"
Which statement is true ?,The policeman who received the man was not patient with him .,"'The waiter who received the man was not patient with him .', 'The policeman who gained the man was not patient with him .'"
"According to the passage , David",studied very hard .,"'studied very hard .', 'practised very hard .'"
The agents make sure that,fake friends must look happy and be well dressed,"'fake roommates must look happy and be well dressed', 'fake friends must rehash happy and be well dressed'"
"According to the passage , scientists studied rats in order to find",what laughter in rats produces,"'what mischief in rats produces', 'what laughter in rats produces'"
It can be inferred from the passage that,people are more easily influenced by those around them,"'schoolteachers are more easily influenced by those around them', 'people were more easily influenced by those around them'"
"You can probably eat Chinese , Italian , and Arabian food at .",Central Park on Saturday,"'cardinal Park on Saturday', 'Central Park on Saturday'"
We can learn from the passage that brown fat,becomes less in amount with age,"'becomes less in paucity with age', 'becomes less in amount with age'"
"After his gap year , Dr. Sinar",became more considerate in his job,"'became more uninformed in his job', 'remained more considerate in his job'"
This article is about,how to prepare for a job interview .,"'how to prepare for a whim interview .', 'how to assemble for a job interview .'"
You can go to Night Safari to,watch animals,"'call animals', 'watch animals'"
Why did Steven Jobs go to India ?,Because he wanted to get some new ideas .,"'Because he wanted to get some new views .', 'Because he wished to get some new ideas .'"
What can be the best title for the passage ?,How Much Screen Time Is Too Much for Children,"'How Much Screen clock_time Is Too Much for Children', 'How Much Screen Time Is Too Much for Children'"
